sr,Make,Model,Variant,Ex-Showroom_Price,Fuel_Tank_Capacity,Fuel_Type,Body_Type,ARAI_Certified_Mileage,Gears,Power,Seating_Capacity,Type,Number_of_Airbags
323,Maruti Suzuki,Ciaz,1.5L Delta At Smart Hybrid,"Rs. 9,80,689",43 litres,Petrol,Sedan,20.28 km/litre,4,103Bhp@6000rpm,5,Automatic,2
324,Maruti Suzuki,Ciaz,1.5L Zeta At Smart Hybrid,"Rs. 10,58,688",43 litres,Petrol,Sedan,20.28 km/litre,4,103Bhp@6000rpm,5,Automatic,2
325,Maruti Suzuki,Ciaz,1.5L Alpha At Smart Hybrid,"Rs. 10,98,689",43 litres,Petrol,Sedan,20.28 km/litre,4,103Bhp@6000rpm,5,Automatic,2
326,Maruti Suzuki,Ciaz,1.5L Alpha,"Rs. 11,38,189",43 litres,Diesel,Sedan,26.82 km/litre,6,94Bhp@4000RPM,5,Manual,2
327,Maruti Suzuki,Ciaz,1.5L Delta,"Rs. 9,97,689",43 litres,Diesel,Sedan,26.32 km/litre,6,94Bhp@4000RPM,5,Manual,2
328,Maruti Suzuki,Ciaz,1.5L Zeta,"Rs. 11,09,189",43 litres,Diesel,Sedan,26.32 km/litre,6,94Bhp@4000RPM,5,Manual,2
329,Skoda,Rapid,1.6 Mpi Ambition,"Rs. 9,98,599",55 litres,Petrol,Sedan,15.41 km/litre,5,105PS@5250rpm,5,Manual,2
330,Skoda,Rapid,1.5 Tdi Cr Active,"Rs. 10,06,139",55 litres,Diesel,Sedan,21.13 km/litre,5,110PS@4000rpm,5,Manual,2
331,Skoda,Rapid,1.6 Mpi Active,"Rs. 8,81,916",55 litres,Petrol,Sedan,15.41 km/litre,5,105PS@5250rpm,5,Manual,2
332,Skoda,Rapid,1.5 Tdi Cr Ambition,"Rs. 11,29,599",55 litres,Diesel,Sedan,21.13 km/litre,5,110PS@4000rpm,5,Manual,2
333,Skoda,Rapid,1.5 Tdi Cr Ambition At,"Rs. 12,49,599",55 litres,Diesel,Sedan,21.72 km/litre,7,110PS@4000rpm,5,Automatic,2
334,Skoda,Rapid,1.6 Mpi Style At,"Rs. 12,43,599",55 litres,Petrol,Sedan,14.84 km/litre,7,105PS@5250rpm,5,Automatic,2
335,Skoda,Rapid,1.5 Tdi Cr Style,"Rs. 12,73,599",55 litres,Diesel,Sedan,21.13 km/litre,5,110PS@4000rpm,5,Manual,2
336,Skoda,Rapid,1.6 Mpi Style,"Rs. 11,15,599",55 litres,Petrol,Sedan,15.41 km/litre,5,105PS@5250rpm,5,Manual,2
337,Skoda,Rapid,1.6 Mpi Ambition At,"Rs. 9,99,599",55 litres,Petrol,Sedan,14.84 km/litre,5,105PS@5250rpm,5,Automatic,2
338,Skoda,Rapid,Onyx Mt Petrol,"Rs. 9,75,599",55 litres,Petrol,Sedan,15.41 km/litre,5,105PS@5250rpm,5,Manual,2
339,Skoda,Rapid,Onyx At Petrol,"Rs. 10,99,599",55 litres,Petrol,Sedan,14.84 km/litre,7,105PS@5250rpm,5,Automatic,2
340,Skoda,Rapid,Onyx Mt Diesel,"Rs. 11,58,599",55 litres,Diesel,Sedan,21.13 km/litre,5,110PS@4000rpm,5,Manual,2
341,Skoda,Rapid,Onyx At Diesel,"Rs. 12,73,599",55 litres,Diesel,Sedan,21.72 km/litre,5,110PS@4000rpm,5,Automatic,2
